ROE;TITULO_ORIGINAL;DIRETOR
E1402333500000;RED HOT CHILI PEPPERS - UNDER THE BRIDGE;GUS VAN SANT
E1402326700000;BITTEN;BRAD TURNER
E1402335800000;SKANK - PRESEN�A (PART. EMICIDA);ALEXANDRE ANTUNES SIQUEIRA, ALEXANDRE CRUZ, OSCAR RODRIGUES ALVES
E1402336500000;THE BEATLES - HELP;RICHARD LESTER
E1402338800000;THE CURE - BOYS DON'T CRY;TIM POPE
E1402341400000;THE POLICE - ROXANNE;STING
E1402343500000;TIT�S - EU N�O AGUENTO;BRANCO MELLO, PAULO MIKLOS
E1402336000000;STING - THE LAST SHIP;PBS
E1402342400000;VAN HALEN - JUMP;DAVID LEE ROTH
E1402373200000;MICKEY MOUSE CLUBHOUSE: MINNIE�S WINTER BOW SHOW;SHERIE POLLACK
E1402373300000;DOC MCSTUFFINS: MOBILE CLINIC;CHRIS NEE
E1402339200000;BEYONC� - IRREPLACEBLE;ANTHONY MANDLER
E1402345500000;KUNG FU PANDA: LEGENDS OF AWESOMENESS;AARON HAMMERSLEY
E1402340700000;BRITNEY SPEARS - I'M A SLAVE 4 U;FRANCIS LAWRENCE
E1402346600000;CELINE DION & NE-YO - INCREDIBLE;ZACH MERCK
E1402358500000;LUCAS MORATO - MUNDO DOS DESENCANTADOS;C�SAR MASSONE
E1402354000000;MICHAEL JACKSON - BLACK OR WHITE;JOHN LADIS
E1402356100000;MICHAEL JACKSON - DIRTY DIANA;JOE PYTKA
E1402356200000;MICHAEL JACKSON - DON'T STOP TIL' YOU GET ENOUGH;MICHAEL JACKSON
E1402359700000;FORMAT PERSPECTIVE;PHILIP EVANS
E1402374000000;KRANKED 7 - THE CANKLE FACTOR;BJORN ENGA
E1402374100000;MAKE IT WORK;LUCIANA LITTIZZETTO
E1402352600000;PEARL JAM - I AM MINE;JAMES FROST
E1402356500000;SADE - BY YOUR SIDE;SOPHIE MULLER
E1402349000000;SADE - SMOOTH OPERATOR;JULIEN TEMPLE
E1402349300000;SANTANA & MICHELLE BRANCH - THE GAME OF LOVE;PAUL FEDOR
E1402355000000;CHRIS BROWN  -  LOYAL (FEAT. LIL WAYNE & TYGA);DIRECTOR X
E1402356000000;MENGEJAR OMBAK;DAVE ARNOLD
E1402360400000;HOT CHELLE RAE - I LIKE IT LIKE THAT;SEAN HAGWELL, JOHN HAMLIN
E1402364100000;MUMUZINHO - PRELIMINARES;M�RCIO DA COSTA BATISTA (MUMUZINHO)
E1402366700000;PITBULL - SHUT IT DOWN ( FEAT. AKON);DAVID ROUSSEAU
E1402366000000;PITBULL  - INTERNATIONAL LOVE (FEAT. CHRIS BROWN );DAVID ROUSSEAU
E1402367600000;SHAKIRA -  RABIOSA;JAUME LAIGUANA
E1402368400000;SHAKIRA -  SHE WOLF;JAKE NAVA
E1402370800000;SHAKIRA - WHENEVER WHEREVER;SHAKIRA
E1402369800000;SHAKIRA  - HIPS DON'T LIE (FEAT. WYCLEF JEAN);SOPHIE MULLER
E1402368900000;TINA TURNER - I WANT YOU NEAR ME;TINA TURNER
E1402371600000;L'ARNACOEUR;PASCAL CHAUMEIL
E1402376500000;FEMME FATALES;DARIN SCOTT
E1402377900000;BATES MOTEL;TUCKER GATES
E1402378000000;BACK TO THE FUTURE II;ROBERT ZEMECKIS
E1402370700000;ELECTION;ALEXANDER PAYNE
E1402373800000;SUNFLOWER;ZHANG YANG
E1402380400000;LA RELIGIEUSE;GUILLAUME NICLOUX
E1402435500000;SORTILEGIO;MONICA MIGUEL
E1402386000000;SECRET WINDOW;DAVID KOEPP
E1402382200000;AVRIL LAVIGNE - THE BEST DAMN THING;AVRIL LAVIGNE
E1402384300000;CHRIS BROWN - STRIP;COLIN TILLEY
E1402384400000;CHRIS BROWN - SWEET LOVE;CHRIS BROWN
E1402385900000;HUMMING BIRD;STEVEN KNIGHT
E1402396600000;SPY KIDS 2: ISLAND OF LOST DREAMS;ROBERT RODRIGUEZ
E1402387300000;AKON - BEAUTFUL;GIL GREEN
E1402387500000;AKON - I'M SO PAID;GIL GREEN
E1402387200000;AUDIOSLAVE - BE YOURSELF;GIL GREEN
E1402394100000;OLSEN TWINS: SWITCHING GOALS;DAVID STEINBERG
E1402398500000;FREE WILLY 1;SIMON WINCER
E1402398600000;FLIPPER;ALAN SHAPIRO
E1402399600000;INSIDE COMEDY;DAVID STEINBERG
E1402392900000;WHITE LIONS: BORN WILD;ARACY CARDOSO
E1402400300000;CHRISTINA AGUILERA - CAN'T HOLD US DOWN;DAVID LACHAPELLE
E1402401100000;STRAW DOGS;ROD LURIE
E1402401800000;THE RUSSEL GIRL;JEFF BLECKNER
E1402403000000;REASONS OF THE HEART;RICK JACOBSON
E1402403200000;LOVE'S UNENDING LEGACY;MARK GRIFFITHIS
E1402403900000;FOO FIGHTERS - ALL MY LIFE;DAVE GROHL
E1402404000000;FOO FIGHTERS - LEARN TO FLY;JESSE PERETZ
E1402405200000;JUSTIN BIEBER - U SMILE;COLIN TILLEY
E1402427300000;CO-ED CONFIDENTIAL;DEMITRI NESSUN
E1402409100000;MARIAH CAREY - OBSESSED;BRETT RATNER
E1402409700000;MGMT - ELETRIC FEEL;ANDREW VANWYNGARDEN
E1402410300000;NE-YO - BEAUTIFUL MONSTER;WAYNE ISHAM
E1402411000000;NE-YO - MAD;DIANE MARTEL
E1402412000000;NICKI MINAJ - THE BOYS ( FEAT. CASSIE);COLIN TILLEY
E1402413300000;THE STROKES - 12:51;ROMAN COPPOLA
E1402413400000;TONY BENNETT  - ONE FOR MY BABY (FEAT. JOHN MAYER);LEE MUSIKER
E1402413500000;TRAIN - 50 WAYS TO SAY GOODBYE;MARC KLASFELD
E1402413600000;TRAIN - DRIVE BY;ALAN FERGUSON
E1402418600000;WILLOW SMITH  - FIREBALL (FEAT. NICKI MINAJ);HYPE WILLIAMS
E1402420200000;BARRY WHITE - LET THE MUSIC PLAY (REMIX);BARRY WHITE
E1402414200000;DEMI LOVATO - HEART ATTACK;CHRIS APPLEBAUM
E1402415400000;DEMI LOVATO - NEON LIGHTS;RYAN PALLOTA
E1402416700000;ELTON JOHN - I WANT LOVE;SAM-TAYLOR WOOD
E1402417500000;ELTON JOHN - I'M STILL STANDING;ELTON JOHN
E1402417600000;ELTON JOHN - NIKITA;KEN RUSSELL
E1402418000000;ELTON JOHN - YOUR SONG (LIVE);ELTON JOHN
E1402418900000;JESSIE J - DOMINO;EMIL NAVA
E1402419200000;JESSIE J - WHO'S LAUGHING NOW;EMIL NAVA
E1402419600000;JESSIE J FEAT. B.O.B. - PRICE TAG;EMIL NAVA
E1402424100000;JOHN MAYER - NO SUCH THING;JOHN MAYER
E1402425600000;KATY PERRY FEAT. SNOOP DOGG - CALIFORNIA GURLS;MATHEW CULLEN
E1402432400000;R.V.;BARRY SONNENFELD
E1402429400000;LULU SANTOS - APENAS MAIS UMA DE AMOR;LUIZ MAURICIO PRAGANA DOS SANTOS
E1402429500000;LULU SANTOS - CERTAS COISAS;LUIZ MAURICIO PRAGANA DOS SANTOS
E1402429600000;LULU SANTOS - HYPERCONECTIVIDADE;LUIZ MAURICIO PRAGANA DOS SANTOS
E1402432800000;FRIDAY THE 13TH PART III;STEVE MINER
E1402433200000;FROM RUSSIA WITH LOVE;TERENCE YOUNG
E1402427500000;GOLDENEYE;MARTIN CAMPBELL
E1402444900000;DIZ PRA MIM;MESS SANTOS
E1402427700000;RAUL SEIXAS - ABRE-TE S�SAMO;RAUL SEIXAS
E1402428300000;RAUL SEIXAS - EU TAMB�M VOU RECLAMAR;RAUL SEIXAS
E1402428700000;ROXETTE - SPENDING MY TIME;MARIE FREDKSSON
E1402433000000;LEFT BEHIND;VIC ARMSTRONG
E1402434800000;IMAGINE THAT;KAREY KIRKPATRICK
E1402435300000;LAST VEGAS;JON TURTELTAUB
E1402436700000;RED RIVER RANGE;GEORGE SHERMAN
E1402436900000;SAVE THE LAST DANCE 2;DAVID PETRARCA
E1402437600000;TOMORROW NEVER DIES;ROGER SPOTTISWOODE
E1402442200000;IO E TE;BERNARDO BERTOLUCCI
E1402443600000;LOST WORLD: JURASSIC PARK, THE;STEVEN SPIELBERG
E1402473200000;PERCEPTION;CHRISTOPHER MISIANO
E1402446000000;DUMBBELLS;CHRISTOPHER LIVINGSTON
E1402446200000;A FAMILY THING;RICHARD PEARCE
E1402446600000;MISS POTTER;CHRIS NOONAN
E1402446700000;RECLAIM;ALAN WHITE
E1402447500000;SELENA GOMEZ - A YEAR WITHOUT RAIN;CHRIS DOOLEY
E1402447900000;SELENA GOMEZ - SLOW DOWN;SELENA GOMEZ
E1402448700000;SIMPLY RED - HOLDING BACK THE YEARS;MICK HUCKNALL
E1402452200000;THE BLACK EYED PEAS - MEET ME HALFWAY;BEN MOR
E1402450300000;WHITNEY HOUSTON - I WANNA DANCE WITH SOMEBODY;WHITNEY HOUSTON
E1402474800000;COLDPLAY - LOVERS IN JAPAN;MAT WHITECROSS
E1402475000000;COLDPLAY - SPEED OF SOUND;CHRIS MARTIN
E1402475300000;COLDPLAY - GOD PUT A SMILE UPON YOU FACE;JAMIE TRAVES
E1402477100000;COLDPLAY - TALK;CHRIS MARTIN
E1402477500000;COLDPLAY - THE HARDEST PART;MARY WIGMORE
E1402481800000;GOSSIP - POP GOES THE WORLD;PHILIP ANDELMAN
E1402482400000;JENNIFER LOPEZ - HOLD YOU DOWN;DIANE MARTEL
E1402483800000;JENNIFER LOPEZ - ALL I HAVE (FEAT. LL COOL);DAVID MEYERS
E1402453400000;JOSS STONE - SUPER DUPER LOVE;DAVID LACHAPELLE
E1402465300000;JOTA QUEST - J� FOI;TATIANA DE LAMARE, MATHEUS ARAUJO
E1402459200000;JOTA QUEST - ONIBUSFOBIA;ROG�RIO FLAUSINO
E1402461500000;KELLY CLARKSON - SINCE U BEEN GONE;KELLY CLARKSON
E1402461700000;LADY GAGA - ALEJANDRO;STEVEN KLEIN
E1402463000000;LADY GAGA - THE EDGE OF GLORY;JOSEPH KAHN
E1402463300000;LITTLE MIX - WINGS;MAX & DANIA
E1402465400000;NICKELBACK - ROCKSTAR;DORI OSKOWITZ
E1402465900000;NICKELBACK - SAVIN' ME;NIGEL DICK
E1402468200000;PARAMORE - THAT'S WHAT YOU GET;MARCOS SIEGA
E1402446900000;DOCTOR WHO;NICK HURRAN
E1402468000000;SLIPKNOT - LEFT BEHIND;DAVE MEYERS
E1402471100000;COLBIE CAILLAT - FALLIN' FOR YOU;THE MALLOYS
E1402472200000;FLO RIDA - GOOD FEELING;ERIK WHITE
E1402488000000;FAST AND THE FURIOUS, THE: TOKYO DRIFT;JUSTIN LIN
E1402491000000;GWEN STEFANI - RICH GIRL;DAVID LACHAPELLE
E1402491100000;GWEN STEFANI  - THE SWEET ESCAPE (FEAT AKON);JOSEPH KAHN
E1402491700000;JACK JOHNSON - BREAKDOWN (LIVE AT KOKUA 2010);TIM WHEELER
E1402493300000;JACK JOHNSON - WASTING TIME;JACK JOHNSON
E1402494000000;OBCHOD NA KORZE;JAN KADAR
E1402494600000;KIMBRA - WARRIOR;THE DANIELS
E1402496100000;MAROON 5 - GOODNIGHT GOODNIGHT;MARC WEBB
E1402498100000;AMERICAN DREAM BUILDERS;TOM SHELLY
E1402497200000;MAROON 5 - WAKE UP CALL;JONAS AKERLUND
E1402499300000;STEVIE WONDER - KEEP OUR LOVE ALIVE;STEVIE WONDER
E1402499400000;STEVIE WONDER - RIBBON IN THE SKY;STEVIE WONDER
E1402501000000;THE BLACK KEYS - YOUR TOUCH;PETER ZAVADIL
E1402501200000;THE PUSSYCAT DOLLS - HUSH HUSH;RICH LEE
E1402501800000;THE WANTED - GLAD YOU CAME;JOHN HOLLOWAY
E1402502500000;TIMBALAND - APOLOGIZE (FEAT. ONE REPUBLIC );ROBERT HALES
E1402505800000;THE THEORY OF EVERYTHING;JAMES MARSH
E1402506100000;GUNS 'N ROSES - APPETITE FOR DEMOCRACY: LIVE AT THE HARD ROCK CASINO - LAS VEGAS;KERRY ASMUSSEN
E1402510800000;TORMENT;JORDAN BARKER
E1402511300000;FATAL ATTRACTION;ADRIAN LYNE
E1402512200000;SHANE;GEORGE STEVENS
E1402512300000;STALAG 17;BILLY WILDER
E1402512400000;TOP SECRET!;JIM ABRAHAMS
E1402512700000;ABOUT A BOY;JON FAVREAU
E1402512900000;SAVING PRIVATE RYAN;STEVEN SPIELBERG
E1402513100000;SATURDAY NIGHT FEVER;JOHN BADHAM
E1402513200000;BANDE DE FILLES;C�LINE SCIAMMA
E1402503400000;CORALINE;HENRY SELICK
E1402514200000;MEET JOE BLACK;MARTIN BREST
E1402517000000;INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;STEVEN SPIELBERG
E1402517800000;RANGO;GORE VERBINSKI
E1402520000000;DESPICABLE ME 2;PIERRE COFFIN
E1402520100000;HANSEL & GRETEL: WITCH HUNTERS;TOMMY WIRKOLA
E1402508200000;AMY WINEHOUSE - YOU KNOW I'M NO GOOD;PHIL GRIFFIN
E1402508700000;ANITTA - ZEN;THIAGO CALVI�O
E1402508800000;BEYONC� FEAT. NICK MINAJ - FLAWLESS (REMIX);BEYONCE
E1402524700000;BLOC PART - HELICOPTER (LIVE);KELE OKEREKE
E1402526000000;BLOC PART - TALONS;MINIVEGAS
E1402509100000;BRUNINHO E DAVI - ONDE NASCE O SOL;ANSELMO TRONCOSO
E1402526300000;BRUNINHO E DAVI - SE NAMORAR FOSSE BOM;BRUNINHO E DAVI
E1402528800000;FRANZ FERDINAND - MICHAEL (LIVE);FRANZ FERDINAND
E1402529100000;FRANZ FERDINAND - OUTSIDERS (LIVE);FRANZ FERDINAND
E1402539100000;FRANZ FERDINAND - WALK AWAY;SCOTT LYONS
E1402538200000;AMERICAN GANGSTER;RIDLEY SCOTT
E1402511800000;NAKED GUN 33 1/3 - FINAL INSULT, THE;PETER SEGAL
E1402548900000;MARIE HEURTIN;JEAN-PIERRE AM�RIS
E1402531800000;JAKE BUGG - TWO FINGERS;JAMIE THRAVES
E1402533300000;LILY ALLEN - THE FEAR;NEZ
E1402533800000;LUCAS LUCCO - PRINCESINHA;ALEX BATISTA
E1402534100000;NAS & AMY WINEHOUSE - CHERRY WINE;NAS, AMY WINEHOUSE
E1402534400000;NATASHA BEDINGFIELD FEAT. SEAN KINGSTON - LOVE LIKE THIS;GIL GREEN
E1402534800000;PAULA FERNANDES - N�O PRECISA;EDUARDO LEVY
E1402536100000;TAYLOR SWIFT - FEARLESS;TODD CASSETTY
E1402536600000;TAYLOR SWIFT - THE STORY OF US;NOBLE JONES
E1402545200000;SNOW WHITE AND THE SEVEN DWARFS;DAVID HAND
E1402545200000;SNOW WHITE AND THE SEVEN DWARFS;WILLIAM COTTRELL
E1402537700000;ARCADE FIRE - KEEP THE CAR RUNNING (LIVE);WIN BUTLER
E1402539700000;ARIANA GRANDE FEAT. MAC MILLER THE WAY;JONES CROW
E1402540000000;BAT FOR LASHES - A WALL;NOEL PAU
E1402540300000;BAT FOR LASHES - DANIEL (LIVE);NATASHA KHAN
E1402540600000;BAT FOR LASHES - SLEEP ALONE (LIVE);NATASHA KHAN
E1402565900000;ARTIFACT;JARED LETO
E1402562400000;ELVIS COSTELLO, MISTERY DANCE;ROBERT KASHER
E1402547700000;SPONGEBOB SQUAREPANTS THE MOVIE;STEPHEN HILLENBURG
E1402564500000;A FILM AND ITS ERA;SERGE JULY
E1402566000000;MONK;JERRY LEVINE
E1402549000000;MANON;JONATHAN KENT
E1402549900000;LA FILLE MAL GARD�E;FREDERICK ASHTON'S
E1402569700000;MONSTER HIGH - FRIGHTS, CAMERA, ACTION!;STEVE SACKS
E1402572200000;JAMES CULLUM - EVERLASTING LOVE;JAMES CULLUM
E1402572800000;JAY-Z FEAT. KANYE WEST & RIHANNA - RUN THIS TOWN;ANTHONY MANDLER
E1402570500000;KAISER CHIEFS - EVERYTHING IS AVERAGE NOWADAYS (LIVE);STYLEWAR
E1402570700000;KAISER CHIEFS - I PREDICT A RIOT;KAISER CHIEFS
E1402691300000;FOOTLOOSE;HERBERT ROSS
E1402571000000;KAISER CHIEFS - MODERN WAY (LIVE);STYLEWAR
E1402571600000;KAISER CHIEFS - RUBY (LIVE);STYLEWAR
E1402571800000;KAISER CHIEFS - SATURDAY NIGHT (LIVE);STYLEWAR
E1402573400000;FORREST GUMP;ROBERT ZEMECKIS
E1402550800000;NANYE WEST - HEARTLESS;HYPE WILLIAMS
E1402551100000;KANYE WEST - BLACK SKINHEAD;NICK KNIGHT
E1402551400000;KANYE WEST - HEARTLESS;HYPE WILLIAMS
E1402551600000;KANYE WEST - STRONGER;HYPE WILLIAMS
E1402551800000;KANYE WEST FEAT. ADAM LEVINE - HEARD'EM SAY;KANYE WEST
E1402553700000;KARDINAL OFFISHALL FEAT. KERI HILSON - NUMBA 1 (TIDE IS HIGH);KARDINAL OFFISHALL
E1402565500000;UP IN THE AIR;JASON REITMAN
E1402563100000;ALWAYS;STEVEN SPIELBERG
E1402554900000;KEANE - SPIRALING;ANDRAS KETZER
E1402555000000;KEANE - THE NIGHT  SKY;KEANE
E1402555400000;KELLY ROWLAND - LIKE THIS;MIKE RUIZ
E1402692200000;ASSISTANCE MORTELLE;RAOUL PECK
E1402555800000;LIFEHOUSE - ALL IN;JESSE JAMES
E1402574900000;BARBIE BUTTERFLY;CONRAD HELTEN
E1402556700000;NELLY - JUST A DREAM;SANJI
E1402556800000;NELLY - MY PLACE;NELLY
E1402557500000;NELLY & KELLY ROWLAND - BODY ON ME;BENNY BOOM
E1402557900000;NELLY FURTADO - PARKING LOT;RAY KAY
E1402558700000;NELLY FURTADO - WAITING FOR THE NIGHT;SEED, THE COLLECTIVE
E1402559000000;NEON TREES - ANIMAL;ZACH ROGERS
E1402559100000;NEON TREES - FIRST THINGS FIRST;JOSEPH KAHN
E1402559300000;NICOLE SCHERZINGER - YOU LOVE;DAWN SHADFORTH
E1402576300000;BORN ON THE FOURTH OF JULY;OLIVER STONE
E1402576700000;FOR WHOM THE BELLS TOLLS;SAM WOOD
E1402577600000;RAN;AKIRA KUROSAWA
E1402577800000;SHAKESPEARE IN LOVE;JOHN MADDEN
E1402578000000;TO KILL A MOCKINGBIRD;ROBERT MULLIGAN
E1402567600000;JAMIE CULLUM - DON'T STOP THE MUSIC;MARC SILVER
E1402567900000;JAMIE CULLUM - MIND TRICK;KEVIN GODLEY
E1402579700000;JACKASS PRESENTS BAD GRANDPA;JEFF TREMAINE
E1402579900000;ELEPHANT WALK;WILLIAM DIETERLE
E1402580500000;A PLACE IN THE SUN;GEORGE STEVENS
E1402580700000;REDS;WARREN BEATTY
E1402580800000;ROMAN HOLIDAY;WILLIAM WYLER
E1402584300000;PLUNDER OF THE SUN;JOHN FARROW
E1402576000000;DEAD POETS SOCIETY;PETER WEIR
E1402588700000;BLACK NATIVITY;KASI LEMMONS
E1402590200000;MAN IN THE IRON MASK, THE;RANDALL WALLACE
E1402590600000;BLUE LAGOON: THE AWAKENING;MIKAEL SALOMON
E1402591500000;WEBCAM GIRLS;PAUL MCALLISTER
E1402592900000;EPECU�N;TOMAS KARAGOZIAN
E1402595000000;THE VISITOR;THOMAS MCCARTHY
E1402595600000;BASIC INSTINCT;PAUL VERHOEVEN
E1402596700000;COOGAN'S BLUFF;DON SIEGEL
E1402597100000;FRANKENSTEIN;JAMES WHALE
E1402599500000;SEA OF LOVE;HAROLD BECKER
E1402602700000;THE EXPENDABLES 3;PATRICK HUGHES
E1402602800000;LAST TEMPTATION OF CHRIST, THE;MARTIN SCORSESE
E1402604900000;THE BRACELET OF BORDEAUX;CASEY KELLY
E1402583300000;LAND BEFORE TIME, THE;DON BLUTH
E1402607100000;LAND BEFORE TIME 12 - THE GREAT DAY OF THE FLYERS;CHARLES GROSVENOR
E1402608700000;BLUES BROTHERS;JOHN LANDIS
E1402609100000;SCORPION KING, THE  2 - RISE OF A WARRIOR;RUSSELL MULCAHY
E1402588900000;CAETANO VELOSO - FORA DE ORDEM;CAETANO VELOSO
E1402589200000;CAETANO VELOSO - JOKERMAN;CAETANO VELOSO
E1402589600000;CAETANO VELOSO - SOZINHO;CAETANO VELOSO
E1402610400000;ME AND ORSON WELLES;RICHARD LINKLATER
E1402610700000;CHRIS CORNELL - CAN'T CHANGE ME;CHRIS CORNELL
E1402611100000;CIDADE NEGRA - FALAR A VERDADE;TONY GARRIDO
E1402612800000;DAVID GUETTA FEAT. SAM MARTIN - DANGEROUS (LYRIC VIDEO);DAVID GUETTA
E1402613400000;PITCH PERFECT;JASON MOORE
E1402616800000;NCIS - NAVAL CRIMINAL INVESTIGATIVE SERVICE;THOMAS J. WRIGHT
E1402615400000;AMERICAN PRESIDENT, THE;ROB REINER
E1402617000000;ARIZONA ROUNDUP;ROBERT TANSEY
E1402622200000;BROKEN LANCE;EDWARD DMYTRYK
E1402622800000;CHRISTMAS IN BOSTON;NEILL FEARNLEY
E1402625400000;DIE GELIEBTEN SCHWESTERN;DOMINIK GRAF
E1402627300000;4400, THE;ERNEST R. DICKERSON
E1402618300000;HEROES;GREG BEEMAN
E1402637100000;THE TWO FACES OF JANUARY;HOSSEIN AMINI
E1402627600000;THE HOUSE OF MAGIC;BEN STASSEN
E1402617800000;GARY CLARK JR. - NUMB;OG
E1402619500000;LAURYN HILL - DOO WOP (THAT THING);LAURYN HILL
E1402621500000;PAUL MCCARTNEY - EARLS DAYS;VINCENT HAYCOCK
E1402614100000;PAUL MCCARTNEY - LET IT BE;PAUL MCCARTNEY
E1402614400000;PAUL MCCARTNEY - ONCE UPON A LONG AGO;PAUL MCCARTNEY
E1402624300000;THE ROLLING STONES - DON'T STOP;MICK JAGGER
E1402665500000;SMASH;STEVEN SPIELBERG
E1402625100000;THE ROLLING STONES - OUT OF CONTROL;MICK JAGGER
E1402640400000;NO LIMITS;JULIEN DESPAUX
E1402640500000;THE AVATARS;LUIS SANTAMARIA
E1402631200000;PIRATES! THE BAND OF MISFITS;JEFF NEWITT
E1402631200000;PIRATES! THE BAND OF MISFITS;PETER LORD
E1402631800000;MY DAUGHTER MUST LIVE;JOHN L'ECUYER
E1402628400000;ZECA PAGODINHO - CAVIAR;ADILSON J�NIOR
E1402629700000;BILLY ON THE STREET;BENJAMIN SALKA
E1402639000000;ELTON JOHN WITH PNAU;PHILIPPE DUSSART
E1402639100000;QUEEN - HUNGARIAN RHAPSODY - LIVE IN BUDAPEST;J�NOS ZSOMBOLYAI
E1402636200000;ALEXANDER MONTY "THE FULL MONTY";ERIC MICHAUD
E1402636800000;LOU DOILLON - TRIANON, PARIS FRANCE 25 TH OF FEB. 2013;ANN MARIE
E1402636900000;MUSICARES 2012: PAUL MCCARTNEY;ANDY WEIR
E1402637000000;MUSICARES 2013: BRUCE SPRINGSTEEN;ANDY WEIR
E1402637400000;MUSICARES 2006: JAMES TAYLOR;ANDY WEIR
E1402638100000;CREAM: ROYAL ALBERT HALL LONDON 2005;MARTYN ATKINS
E1402666200000;STILL SMOKIN;THOMAS CHONG
E1402654700000;STRUCK BY LIGHTNING;BRIAN DANNELLY
E1402666300000;SUGARLAND EXPRESS, THE;STEVEN SPIELBERG
E1402642600000;KITE MASTERS;KATRIN ENDER
E1402666400000;SUPERCROSS;STEVE BOYUM
E1402643200000;CAMPAIGN 2;TAYLOR STEELE
E1402666900000;TRUE STORY OF JESSE JAMES, THE;NICHOLAS RAY
E1402648400000;LIFTOFF;JOKKE SOMMER
E1402650600000;JACKIE;ANTOINETTE BEUMER
E1402650700000;ANCHORMAN 2: THE LEGEND CONTINUES;ADAM MCKAY
E1402668400000;LAS AVENTURAS DE TADEO JONES;ENRIQUE GATO
E1402643000000;THE HIGH AND THE MIGHTY;WILLIAM A. WELLMAN
E1402647000000;P�GINAS DEL DIARIO DE MAURICIO;MANUEL P�REZ
E1402633900000;ARLINDO CRUZ - O BEM;ARLINDO CRUZ
E1402634000000;ARLINDO CRUZ - O MEU LUGAR;ARLINDO CRUZ
E1402634400000;GWEN STEFANI - BABY DON'T LIE;WEIRDCORE
E1402648300000;E.T. THE EXTRA-TERRESTRIAL;STEVEN SPIELBERG
E1402651600000;FROST GIANT;VICTOR GARCIA
E1402671000000;SUMMER IN FEBRUARY;CHRISTOPHER MENAUL
E1402672400000;JUSTIN AND THE KNIGHTS OF VALOUR;MANUEL SICILIA
E1402675100000;MONSTER HIGH - FREAKY FUSION;SYLVAIN BLAIS
E1402673200000;CAPITAL INICIAL - INDEPEND�NCIA;DINHO OURO PRETO
E1402674300000;CAPITAL INICIAL - QUATRO VEZES VOC�;DINHO OURO PRETO
E1402674600000;CAPITAL INICIAL - TEMPO PERDIDO;DARCY BURGER
E1402690300000;CPM 22 - AL CAPONE;FERNANDO EST�FANO BADAU�
E1402691400000;CPM 22 - TARDE DE OUTUBRO;O. SANTANA
E1402691600000;CPM 22 - VIDA OU MORTE;RODRIGO GIANNETTO
E1402679900000;GILBERTO GIL - THREE LITTLE BIRDS;F. SOARES
E1402684200000;KELLY OSBOURNE - PAPA DON'T PRECH;MARCOS SIEGA
E1402664300000;O RAPPA - RODO COTIDIANO;MARCELO FALC�O
E1402664400000;O RAPPA - VAPOR BARATO;PEDRO SERRA
E1402663700000;ROYAL BLOOD - FIGURE IT OUT;NINIAN DOFF
E1402661100000;T.A.T.U - HOW SOON IS NOW;LENA KATINA
E1402661600000;THE CHIEFTAINS & ZIGGY MARLEY - REDEMPTION SONG;ALYTH MCCORMACK
E1402660300000;THE LUMINEERS - HO HEY;BEM FEE
E1402659300000;U2 - I WILL FOLLOW;BONO VOX
E1402659000000;U2 - THE SWEETEST THING;KEVIN GODLEY
E1402657300000;WEEZER - BEVERLY HILLS;RIVERS CUOMO
E1402657800000;WEEZER - PERFECT SITUATION;MARC WEBB
E1402655800000;3 DOORS DOWN - WHEN I'M GONE;MARK KLASFELD
E1402683300000;BJ�RK - ARMY OF ME;BJ�RK GU�MUNDSD�TTIR
E1402683700000;BJ�RK - DECLARE INDEPENDENCE (LIVE);BJ�RK
E1402670700000;BJ�RK - HUMAN BEHAVIOUR;BJ�RK
E1402671900000;BJ�RK - I'VE SEEN IT ALL;BJ�RK
E1402672500000;BJ�RK - PAGAN POETRY;BJ�RK
E1402685100000;BJ�RK - VIOLENTLY HAPPY;BJ�RK
E1402705600000;BRIDE OF FRANKENSTEIN;JAMES WHALE
E1402678400000;CELINE DION - THE POWER OF LOVE;CELINE DION
E1402678700000;CELINE DION -  TOU L'OR DES HOMME;CELINE DION
E1402706300000;INCUBUS - TALK SHOW ON MUTE;BRANDON BOYD
E1402698000000;PINK - DEAR MR. PRESIDENT (LIVE);DAVE DIOMEDI
E1402699500000;PEARL JAM - JEREMY;EDDIE VEDDER
E1402700800000;RICKY MARTIN - JALEO (SPANISH VERSION);CARLOS PEREZ
E1402700800000;RICKY MARTIN - JALEO (SPANISH VERSION);KACHO LOPEZ
E1402710200000;ICE BEAR;ADAM RAVETCH
E1402701100000;RICKY MARTIN - MARIA;RICKY MARTIN
E1402701500000;RICKY MARTIN - SHE'S ALL I EVER HAD;RICKY MARTIN
E1402702800000;SHAKIRA - NO CREO;SHAKIRA
E1402703400000;TRAIN - CALLING ALL ANGELS;SHAUN PETERSON
E1402684800000;DIOGO NOGUEIRA - MAIS AMOR;PEDRO SECCHIN
E1402712400000;WINGS;WILLIAM A. WELLMAN
E1402713200000;EMMANUELLE 2;FRANCIS GIACOBETTI
E1402714400000;STATION OF THE CROSS;DIETRICH BR�GGEMANN
E1402715000000;ROBBIE WILLIAMS: LIVE IN TALLINN;STEFAAN DESMEDT
E1402720300000;NEVER EVER DO THIS AT HOME CANADA;CHRIS CHILCO
E1402734600000;TRIP  AND  TROOP;ENRIQUE QUILES VIANA
